382,863,334,53,31,27,-888,53,-205
372,867,330,54,3,0,-888,52,-206
372,869,324,55,-5,-53,-888,51,-205
377,872,322,47,-14,-22,-886,49,-202
374,866,326,36,17,-1,-888,48,-202
372,870,320,21,35,52,-889,49,-202
376,867,322,32,-29,4,-889,49,-203
367,868,324,23,-9,31,-888,50,-203
364,869,321,6,17,106,-889,52,-203
373,865,322,-7,-17,108,-889,54,-204
378,855,325,7,-7,148,-888,56,-202
384,860,323,53,-57,129,-889,61,-201
392,861,320,14,-53,132,-889,65,-202
395,857,324,30,-26,172,-889,70,-203
404,861,318,1,-18,200,-891,76,-200
410,857,327,41,-30,164,-889,79,-200
420,850,326,73,-16,91,-888,83,-201
416,847,334,107,20,83,-889,84,-199
413,858,319,50,117,109,-890,86,-202
417,867,305,-72,137,129,-888,91,-205
426,849,283,-91,163,142,-886,94,-210
416,845,310,-116,86,145,-883,99,-214
408,842,328,-107,25,216,-881,105,-216
411,842,334,-96,10,240,-882,113,-216
431,838,338,-113,21,262,-882,121,-215
446,826,342,-73,0,248,-879,130,-215
450,822,346,-32,-58,258,-879,135,-215
445,818,347,64,-47,185,-878,142,-213
451,810,346,108,-117,193,-879,145,-211
464,816,332,186,-99,189,-881,148,-209
482,815,336,194,-87,198,-882,153,-209
491,812,332,207,-81,181,-881,156,-208
509,815,324,212,-25,145,-883,158,-208
510,821,329,184,35,128,-882,162,-212
492,825,329,86,88,88,-880,164,-215
481,829,306,-29,128,68,-881,165,-219
491,828,290,-107,174,56,-880,170,-227
493,810,297,-118,129,83,-877,174,-232
497,820,295,-202,147,116,-874,178,-234
502,810,285,-217,159,118,-871,183,-237
490,801,320,-198,142,161,-868,188,-240
484,797,351,-136,25,123,-867,192,-241
480,803,347,-70,-54,47,-867,195,-241
494,801,337,-131,-15,101,-868,199,-240
501,796,347,-139,15,81,-867,202,-239
507,793,352,-132,35,93,-865,206,-237
507,784,361,-97,33,33,-867,208,-238
501,784,364,-65,35,46,-865,210,-239
497,788,367,-63,64,-1,-864,209,-239
499,783,362,-29,46,-3,-864,210,-240
497,783,368,-25,-7,-10,-863,211,-240
495,782,372,7,-37,-30,-864,208,-237
498,783,368,24,-63,-21,-864,208,-237
498,786,363,21,-5,31,-864,208,-236
497,788,372,2,-27,-25,-864,207,-234
508,781,368,28,-8,-6,-867,205,-236
502,786,366,67,29,-48,-865,204,-236
493,789,357,-8,22,-42,-869,203,-237
483,794,355,-38,33,16,-864,204,-238
483,790,365,-17,-11,25,-866,201,-239
488,791,360,-89,-62,21,-864,203,-235
497,786,369,-48,-102,16,-866,203,-232
501,786,375,-12,-75,-39,-869,203,-228
506,786,373,9,-28,-28,-869,202,-226
499,791,366,54,-5,-87,-870,200,-227
488,794,362,14,32,-95,-870,196,-226
479,801,353,-9,-27,-137,-872,192,-228
477,799,351,-84,-62,-80,-872,190,-227
486,801,357,-52,-88,-67,-873,189,-222
490,800,356,13,-90,-97,-875,183,-219
480,800,364,89,-134,-132,-875,178,-215
495,806,376,72,-101,-215,-880,172,-211
522,846,342,4,24,-168,-881,166,-210
509,962,349,-341,192,-60,-877,161,-209
455,1037,343,-608,290,175,-872,164,-210
497,1140,406,-534,277,702,-863,181,-209
561,1030,412,-169,166,1085,-841,204,-205
584,918,376,-95,82,1310,-820,235,-196
595,855,346,-265,183,1455,-802,262,-186
580,713,353,-413,296,1583,-778,294,-180
519,493,410,-489,336,1528,-753,326,-175
470,441,409,-415,383,1241,-721,354,-169
467,445,495,-420,475,1105,-700,379,-170
445,393,607,-689,329,755,-686,396,-168
467,366,632,-653,88,194,-682,406,-165
503,398,615,-347,-85,-181,-683,403,-156
517,451,564,-322,-241,-410,-697,394,-154
576,506,508,-306,-268,-557,-713,380,-144
578,425,620,-251,-392,-646,-721,367,-135
661,514,562,-164,-561,-761,-739,347,-124
772,577,546,-303,-527,-520,-754,331,-111
753,470,564,-384,-488,-245,-768,317,-98
757,411,480,-282,-372,-212,-775,311,-84
713,424,553,-109,-211,-167,-778,311,-79
692,572,655,-213,-331,-138,-782,304,-72
691,527,521,-100,-299,101,-787,307,-65
622,432,524,184,-274,7,-786,310,-62
633,392,589,148,-197,-102,-786,313,-60
670,464,557,151,-88,-182,-789,311,-58
724,537,531,7,-60,-292,-793,308,-61
671,440,581,13,-45,-294,-796,308,-59
666,448,518,178,-158,-486,-803,302,-62
657,506,475,203,-44,-576,-810,297,-60
666,638,582,104,-185,-538,-814,294,-58
670,696,535,-73,-385,-521,-821,291,-48
677,759,405,-147,-426,-513,-825,286,-29
704,736,349,-344,-309,-523,-830,284,-11
668,745,343,-278,-223,-532,-832,276,4
638,718,385,-96,-230,-715,-831,269,18
613,834,387,-80,-311,-931,-832,251,35
645,952,325,-119,-272,-952,-833,226,52
592,899,338,82,-157,-1033,-834,195,61
476,880,359,220,-38,-1130,-833,160,64
394,878,293,396,186,-1110,-829,126,61
348,875,276,616,387,-1100,-830,90,51
337,840,355,651,451,-1122,-828,56,36
346,844,429,524,305,-1250,-828,10,21
326,850,371,234,217,-1194,-826,-30,10
344,1010,379,117,329,-1210,-820,-66,4
276,1006,414,-48,310,-1261,-812,-111,-8
217,1028,476,-32,316,-1172,-803,-151,-20
124,898,561,-240,241,-1139,-788,-190,-33
94,863,556,-183,159,-1163,-775,-227,-43
98,924,463,-47,34,-1066,-760,-262,-46
88,921,426,3,-91,-879,-747,-292,-46
67,820,369,45,-280,-780,-734,-317,-43
59,871,289,211,-411,-739,-715,-341,-35
26,912,265,243,-506,-595,-706,-359,-25
-8,917,274,109,-626,-470,-697,-374,-12
-12,907,263,-14,-712,-401,-690,-386,0
2,905,264,-131,-768,-356,-682,-398,15
13,848,291,-292,-750,-316,-673,-408,27
21,789,338,-369,-725,-332,-665,-416,38
48,794,327,-377,-690,-303,-660,-424,45
59,829,371,-370,-635,-289,-655,-432,53
51,806,398,-376,-668,-348,-648,-442,61
61,851,410,-760,-592,-449,-642,-451,65
27,802,509,-448,-458,-516,-635,-463,66
-12,825,587,-141,-429,-481,-627,-474,69
-7,700,599,-49,-299,-426,-621,-486,76
-15,751,661,-129,-229,-312,-614,-493,79
-12,783,644,-62,-191,-184,-609,-504,79
-16,822,599,244,-203,-53,-607,-504,85
-54,849,570,420,-135,94,-607,-506,91
-103,824,645,529,-174,262,-608,-504,102
-109,881,642,400,-339,346,-612,-499,112
-121,886,642,182,-439,461,-613,-495,123
-31,894,561,118,-595,449,-617,-491,132
26,965,514,309,-546,331,-616,-489,141
23,937,522,162,-663,188,-614,-490,152
53,914,498,122,-614,167,-606,-493,162
54,948,474,60,-676,84,-601,-494,171
43,815,393,22,-807,-7,-592,-501,179
69,814,308,362,-859,-180,-582,-506,190
71,924,271,690,-965,-397,-565,-516,211
66,1039,228,717,-1021,-311,-547,-524,237
64,1048,222,482,-1121,-304,-532,-528,261
63,1034,233,358,-1248,-327,-514,-536,281
55,1020,164,120,-1250,-379,-494,-543,301
46,1024,142,-161,-1085,-377,-475,-554,311
30,946,237,-91,-1025,-398,-456,-564,317
16,988,276,441,-1233,-522,-433,-572,335
27,1052,230,394,-1307,-501,-409,-577,356
21,1052,195,170,-1410,-399,-386,-580,371
40,1081,176,177,-1514,-303,-361,-585,388
1,1032,146,-33,-1540,-291,-337,-589,400
-6,1007,222,-42,-1673,-279,-309,-593,411
17,1011,230,39,-1894,-258,-283,-597,423
38,1014,150,-208,-1988,-244,-251,-601,434
63,979,146,-219,-2013,-216,-222,-605,440
80,956,212,-56,-2194,-173,-190,-608,448
92,955,173,-152,-2368,-218,-152,-609,455
120,957,164,-461,-2400,-140,-116,-614,456
141,915,149,-510,-2423,-132,-85,-620,452
185,896,99,-464,-2368,-141,-48,-626,446
213,933,93,-403,-2236,-176,-16,-629,439
213,912,175,-576,-2180,-180,19,-639,424
218,818,187,-640,-2193,-307,51,-646,405
249,861,146,-567,-2168,-450,84,-649,392
279,897,147,-486,-2038,-493,116,-652,373
283,868,146,-446,-1884,-589,149,-657,354
276,865,196,-342,-1874,-748,182,-657,331
285,935,198,-288,-1819,-823,214,-656,312
238,1030,238,-452,-1740,-900,246,-653,291
124,1045,210,-584,-1744,-958,281,-649,265
111,1029,188,-554,-1569,-690,306,-648,237
8,1100,289,-420,-1495,-547,325,-646,205
-60,1062,399,-417,-1625,-382,342,-641,181
-40,1008,373,-792,-1870,-409,356,-637,151
45,949,282,-736,-2026,-555,374,-632,109
130,918,234,-420,-2043,-657,392,-623,74
165,888,258,-209,-2021,-640,404,-614,40
164,825,302,-254,-1988,-476,412,-604,9
195,727,290,-386,-1900,-370,420,-599,-19
204,739,308,-466,-1822,-309,422,-590,-53
245,759,296,-484,-1722,-325,425,-582,-87
292,791,286,-269,-1644,-322,420,-576,-122
340,815,284,-130,-1489,-276,417,-571,-149
368,857,307,-63,-1310,-203,415,-570,-168
382,921,319,-119,-1190,-187,409,-565,-187
343,984,316,-118,-1066,-300,405,-562,-204
417,841,439,122,-1060,-453,401,-563,-217
369,996,381,341,-1055,-655,400,-559,-224
366,1203,266,226,-829,-735,406,-555,-230
249,1319,145,-31,-445,-562,409,-547,-237
125,1130,289,-173,-134,-220,410,-543,-236
65,995,376,-415,-174,-270,411,-537,-237
90,1070,338,-425,-268,-350,413,-529,-242
105,1079,314,-310,-280,-363,416,-520,-245
62,982,334,-307,-351,-198,414,-515,-251
101,820,280,-262,-366,-46,414,-512,-256
143,776,262,-132,-393,18,415,-510,-259
171,789,251,-138,-333,146,410,-511,-262
220,740,236,-142,-316,215,405,-518,-267
216,774,237,-200,-260,183,401,-519,-271
232,772,223,-185,-198,154,399,-524,-275
242,842,238,-96,-117,123,400,-528,-279
227,885,274,-110,-64,32,401,-533,-276
210,931,293,-16,-23,-120,404,-537,-278
209,930,350,61,-21,-199,408,-541,-277
254,973,361,335,-22,-491,420,-544,-275
199,1162,269,780,57,-497,432,-553,-264
-13,1200,293,902,309,-164,443,-568,-248
-117,1107,358,291,411,155,448,-581,-232
-125,1126,421,-24,300,-20,454,-592,-227
-164,1070,432,429,176,-113,458,-602,-218
4,1022,344,560,83,-187,463,-613,-204
75,929,270,357,173,-53,469,-622,-193
71,831,272,116,317,280,471,-630,-187
98,737,291,-189,276,428,465,-642,-182
85,701,317,-504,217,464,462,-653,-188
119,750,305,-603,170,460,454,-666,-201
172,754,337,-697,199,433,450,-675,-217
214,751,345,-436,379,387,444,-681,-229
198,818,284,-104,584,409,441,-692,-234
194,897,303,270,692,362,440,-708,-226
176,1011,323,240,706,319,438,-723,-217
245,1130,299,299,700,83,439,-734,-208
209,1246,235,138,802,34,440,-745,-193
174,1209,209,-103,958,184,438,-751,-183
119,1099,253,-210,1057,250,430,-762,-177
212,1141,196,-344,970,51,429,-764,-174
