53,31,27
54,3,0
55,-5,-53
47,-14,-22
36,17,-1
21,35,52
32,-29,4
23,-9,31
6,17,106
-7,-17,108
7,-7,148
53,-57,129
14,-53,132
30,-26,172
1,-18,200
41,-30,164
73,-16,91
107,20,83
50,117,109
-72,137,129
-91,163,142
-116,86,145
-107,25,216
-96,10,240
-113,21,262
-73,0,248
-32,-58,258
64,-47,185
108,-117,193
186,-99,189
194,-87,198
207,-81,181
212,-25,145
184,35,128
86,88,88
-29,128,68
-107,174,56
-118,129,83
-202,147,116
-217,159,118
-198,142,161
-136,25,123
-70,-54,47
-131,-15,101
-139,15,81
-132,35,93
-97,33,33
-65,35,46
-63,64,-1
-29,46,-3
-25,-7,-10
7,-37,-30
24,-63,-21
21,-5,31
2,-27,-25
28,-8,-6
67,29,-48
-8,22,-42
-38,33,16
-17,-11,25
-89,-62,21
-48,-102,16
-12,-75,-39
9,-28,-28
54,-5,-87
14,32,-95
-9,-27,-137
-84,-62,-80
-52,-88,-67
13,-90,-97
89,-134,-132
72,-101,-215
4,24,-168
-341,192,-60
-608,290,175
-534,277,702
-169,166,1085
-95,82,1310
-265,183,1455
-413,296,1583
-489,336,1528
-415,383,1241
-420,475,1105
-689,329,755
-653,88,194
-347,-85,-181
-322,-241,-410
-306,-268,-557
-251,-392,-646
-164,-561,-761
-303,-527,-520
-384,-488,-245
-282,-372,-212
-109,-211,-167
-213,-331,-138
-100,-299,101
184,-274,7
148,-197,-102
151,-88,-182
7,-60,-292
13,-45,-294
178,-158,-486
203,-44,-576
104,-185,-538
-73,-385,-521
-147,-426,-513
-344,-309,-523
-278,-223,-532
-96,-230,-715
-80,-311,-931
-119,-272,-952
82,-157,-1033
220,-38,-1130
396,186,-1110
616,387,-1100
651,451,-1122
524,305,-1250
234,217,-1194
117,329,-1210
-48,310,-1261
-32,316,-1172
-240,241,-1139
-183,159,-1163
-47,34,-1066
3,-91,-879
45,-280,-780
211,-411,-739
243,-506,-595
109,-626,-470
-14,-712,-401
-131,-768,-356
-292,-750,-316
-369,-725,-332
-377,-690,-303
-370,-635,-289
-376,-668,-348
-760,-592,-449
-448,-458,-516
-141,-429,-481
-49,-299,-426
-129,-229,-312
-62,-191,-184
244,-203,-53
420,-135,94
529,-174,262
400,-339,346
182,-439,461
118,-595,449
309,-546,331
162,-663,188
122,-614,167
60,-676,84
22,-807,-7
362,-859,-180
690,-965,-397
717,-1021,-311
482,-1121,-304
358,-1248,-327
120,-1250,-379
-161,-1085,-377
-91,-1025,-398
441,-1233,-522
394,-1307,-501
170,-1410,-399
177,-1514,-303
-33,-1540,-291
-42,-1673,-279
39,-1894,-258
-208,-1988,-244
-219,-2013,-216
-56,-2194,-173
-152,-2368,-218
-461,-2400,-140
-510,-2423,-132
-464,-2368,-141
-403,-2236,-176
-576,-2180,-180
-640,-2193,-307
-567,-2168,-450
-486,-2038,-493
-446,-1884,-589
-342,-1874,-748
-288,-1819,-823
-452,-1740,-900
-584,-1744,-958
-554,-1569,-690
-420,-1495,-547
-417,-1625,-382
-792,-1870,-409
-736,-2026,-555
-420,-2043,-657
-209,-2021,-640
-254,-1988,-476
-386,-1900,-370
-466,-1822,-309
-484,-1722,-325
-269,-1644,-322
-130,-1489,-276
-63,-1310,-203
-119,-1190,-187
-118,-1066,-300
122,-1060,-453
341,-1055,-655
226,-829,-735
-31,-445,-562
-173,-134,-220
-415,-174,-270
-425,-268,-350
-310,-280,-363
-307,-351,-198
-262,-366,-46
-132,-393,18
-138,-333,146
-142,-316,215
-200,-260,183
-185,-198,154
-96,-117,123
-110,-64,32
-16,-23,-120
61,-21,-199
335,-22,-491
780,57,-497
902,309,-164
291,411,155
-24,300,-20
429,176,-113
560,83,-187
357,173,-53
116,317,280
-189,276,428
-504,217,464
-603,170,460
-697,199,433
-436,379,387
-104,584,409
270,692,362
240,706,319
299,700,83
138,802,34
-103,958,184
-210,1057,250
-344,970,51
-315,950,98
-153,995,133
-49,1037,183
-103,953,248
-241,718,263
-372,533,167
-772,427,127
-1552,336,1
-1986,354,-203
-2484,616,-374
-2512,1121,-531
-2084,1463,-403
-2116,1634,-335
-2089,1796,-455
-1871,1853,-364
-1165,1817,-353
-883,1884,-330
-1495,2100,-84
-1957,1951,350
-2023,1888,763
-2033,1848,837
-1942,1728,710
-1777,1437,747
-1475,1153,859
-1398,1078,921
-1790,1259,1037
-2181,1188,1135
-1702,949,1127
-966,974,944
-1057,1017,807
-728,753,639
-330,496,500
-260,370,311
-272,260,255
-293,179,125
-207,36,86
-111,-68,-14
67,-240,-107
253,-424,-279
738,-814,-561
1278,-1437,-764
1554,-1990,-848
1894,-2484,-876
2160,-2613,-918
3079,-2835,-1097
3919,-3112,-1067
4271,-2841,-688
4462,-2592,-560
3987,-2243,-336
3391,-1956,-341
3044,-1521,32
3334,-1088,290
3496,-916,270
3015,-815,263
2542,-808,84
2031,-830,326
1005,-841,282
365,-877,68
-117,-879,-76
-516,-1086,-243
-400,-1318,-388
-186,-1541,-381
-111,-1681,-356
40,-1676,-269
310,-1638,-154
388,-1647,-34
522,-1758,101
282,-1723,206
48,-1657,254
311,-1644,100
506,-1500,-24
255,-1065,227
-394,-491,439
-940,71,473
-1131,250,286
-912,194,348
-393,-37,385
-8,-109,408
39,-75,407
53,99,260
170,252,139
157,526,83
110,827,46
161,1021,109
163,1203,179
84,1276,185
244,1446,206
245,1579,241
320,1637,86
438,1622,-52
399,1654,-66
230,1555,-353
-609,1467,-745
-1467,1467,-750
-1009,1176,-837
