-114,-92,60
-7,-164,7
15,-194,38
32,-186,29
82,-166,3
86,-60,16
34,-25,51
59,-49,108
38,28,150
-12,21,168
4,30,226
236,91,225
428,172,436
310,301,678
-229,671,1020
-513,944,1663
-1530,975,2325
-1776,964,2856
-1022,939,3113
-207,761,2977
547,534,2756
1234,403,2365
1264,58,2057
997,-232,1786
435,-309,1568
-280,-164,1167
-131,-34,698
556,-42,337
594,263,-51
649,503,-193
1147,754,-439
1485,439,-457
1205,-191,-628
1019,-315,-738
1217,-460,-833
1557,-166,-1241
1692,6,-1165
1958,577,-1069
1214,1110,-708
-155,1651,-375
819,1191,-57
1326,491,-26
362,586,255
123,396,61
339,282,13
254,115,319
-52,209,252
-8,8,193
47,-282,203
-25,-441,81
-3,-672,-35
-30,-837,-187
-286,-861,-80
-445,-944,-127
-639,-910,-74
-995,-1046,38
-1296,-1086,90
-1108,-930,150
-571,-795,258
-575,-762,348
-582,-820,389
-257,-661,153
-1143,-46,168
-710,245,137
-358,332,97
-225,175,-57
-233,107,-38
-280,18,38
-304,-164,103
-293,-280,104
-161,-261,184
179,-87,-3
503,183,32
361,486,162
613,797,268
516,885,558
548,710,684
972,812,1001
560,968,1192
-130,487,1087
-315,331,1079
-673,422,1075
-1122,555,324
-400,421,-199
466,339,-239
-713,361,185
-1830,419,174
-1622,570,-171
-1441,690,-824
-1136,878,-1235
-1413,810,-1333
-2352,548,-1270
-2772,470,-1110
-1052,502,-606
430,337,-708
494,165,-969
406,62,-747
230,-123,-429
429,-408,-255
345,-638,56
237,-483,313
127,-354,457
-50,-104,618
-140,-52,774
47,44,642
469,240,327
474,191,-65
802,-210,-311
1443,-603,-215
1982,-894,-172
1923,-821,175
1216,-742,389
192,-229,536
-706,-62,506
-905,-207,308
179,-292,-3
451,-119,-145
-76,104,22
212,229,84
221,50,-38
258,-244,-83
923,-638,-171
964,-776,-133
540,-944,-219
557,-1003,-372
1156,-934,-577
1363,-799,-671
1491,-808,-778
977,-838,-497
475,-692,-335
66,-346,-258
193,-60,-259
441,59,-125
124,38,7
-14,-30,88
-106,51,101
-259,135,96
-497,151,67
-790,-154,2
-1189,-641,-182
-1272,-1050,-500
-1570,-1711,-747
-1831,-2476,-1034
-1446,-2422,-833
-2141,-3269,-1686
-3424,-3254,-1967
-3666,-2784,-2232
-3525,-2437,-2627
-3490,-2132,-2646
-2404,-1576,-2586
-637,-1158,-2456
832,-847,-1959
2070,-592,-1274
2399,-192,-659
1120,-129,-376
217,167,-222
476,479,-167
438,518,-127
-314,470,-185
-213,743,-120
-221,620,-5
-792,80,-43
-868,-344,81
-372,-244,283
-238,-220,309
-295,-159,406
-466,-149,503
-419,-51,692
-196,-110,635
161,-115,648
276,4,628
229,319,287
260,638,-190
219,958,-208
320,1232,-141
762,1324,-206
880,1422,-95
892,1383,31
1102,1444,201
1010,1602,214
1255,1905,-41
1243,2072,-183
1011,2320,-168
916,2686,-298
812,2836,-357
788,2820,-284
930,2732,-487
1259,2201,-493
1059,1830,-535
457,1443,-343
1217,1145,-163
1145,911,74
105,863,91
-347,687,279
-532,322,301
-947,87,165
-1275,-38,85
-1129,-42,24
-652,24,19
-90,90,-126
223,276,-150
164,462,-80
75,367,-108
-67,162,-11
-302,54,49
-462,68,28
-340,197,-74
-140,287,-82
-245,438,-59
-319,534,-78
-274,437,-51
-121,405,-18
-259,325,110
-264,338,187
-196,437,264
-225,682,353
-123,872,425
4,1014,439
-117,1044,517
-209,966,504
-203,1066,575
-164,992,641
-370,1045,693
-449,1128,672
-373,1350,665
-382,1565,583
-305,1616,405
-375,1618,374
-518,1590,224
-575,1715,-4
-312,1902,-300
-303,1982,-581
-653,2164,-718
-978,2570,-334
-1305,2781,104
-1394,2507,523
-1339,2303,860
-1538,2118,1164
-1529,2035,1425
-1305,1886,1431
-1197,1671,1506
-1228,1482,1432
-1226,1416,1370
-1047,1449,1324
-726,1373,1160
-545,1433,1096
-351,1507,1073
-129,1574,1046
-245,1538,1020
-419,1363,971
-350,1271,893
-168,1181,767
-210,1156,664
-273,1004,652
-393,929,629
-680,1008,754
-757,1008,736
-588,911,693
-638,1155,518
-1132,1388,527
-1220,1595,540
-1119,1599,367
-1083,1554,286
-1006,1521,177
-715,1418,30
-555,1325,-27
-619,1185,45
-850,987,139
-949,780,206
-1012,524,373
-870,256,390
-579,-44,185
-509,-128,144
-313,-99,-55
128,0,-323
500,74,-427
521,122,-409
183,180,-437
29,277,-357
372,316,-330
379,344,-444
387,273,-466
329,301,-311
-212,323,-215
-311,404,-158
-459,468,-87
-460,389,-274
-406,376,-126
-723,463,23
-798,582,322
-537,441,390
278,188,719
856,139,667
679,-86,528
846,-257,576
765,-214,438
529,73,457
282,646,526
-16,1119,350
-415,1304,422
-258,1294,755
584,1011,862
1087,723,895
747,642,731
196,785,1048
1100,407,727
1128,-35,538
664,114,341
230,498,385
-60,638,180
-113,760,239
-98,630,368
-294,568,542
-114,877,904
-87,728,978
397,671,1118
859,467,1174
1099,258,1092
199,70,844
-971,6,521
-1064,-133,483
-724,-127,385
-462,290,369
-920,156,88
-548,480,-424
-802,1127,-248
-1136,1086,-136
-766,1344,504
-837,1074,671
-712,657,540
-949,474,392
-535,207,325
542,158,148
841,124,75
471,180,-131
619,82,-371
1167,76,-467
971,171,-397
232,181,-54
-337,104,259
-224,-19,306
343,-26,54
729,-38,-156
467,-173,-137
112,-127,72
-142,72,312
-344,14,500
-73,-110,540
445,-208,284
797,-308,-391
1021,-305,-1019
1144,-265,-1773
1021,-405,-2393
636,-655,-2703
761,-766,-2821
1292,-1123,-2655
1694,-1539,-2461
1609,-1618,-2150
1047,-1228,-1617
318,-1174,-1217
89,-1027,-874
-451,-881,-665
-381,-588,-572
273,-607,-500
674,-615,-210
574,-411,23
459,-314,305
394,-152,575
376,-141,753
254,-149,843
-38,-75,811
-226,-171,696
41,-221,746
-104,-175,757
-45,-239,625
-494,-189,483
-196,-246,528
52,-231,466
-518,-165,273
169,-289,156
-318,-59,39
-567,-3,53
-224,25,-9
-191,-33,44
238,-191,43
446,-409,104
1022,-790,501
230,-465,440
-936,-275,444
266,-210,375
-625,50,206
-952,97,14
-693,295,-83
-444,428,-227
751,448,-40
810,378,210
904,478,517
1108,695,813
1007,895,955
731,730,1005
374,591,1082
369,452,1139
492,147,1289
775,-3,1369
907,21,1634
1369,436,1394
1272,925,1106
1051,1172,671
929,1068,340
793,341,131
626,-949,-40
368,-1230,-85
429,-1091,-51
343,-1053,-70
184,-940,65
-26,-770,141
-86,-571,224
-116,-219,281
-290,276,537
-224,731,791
-35,1225,963
-146,1465,1236
-200,1530,1228
-153,1783,977
-435,1853,682
-779,1658,277
-910,1458,-273
-1204,1107,-748
-1821,840,-1118
-2571,641,-1226
-2152,336,-1147
-600,46,-603
481,-81,19
570,-124,162
-302,-127,192
79,-201,161
553,-240,-39
-244,-35,-100
-167,69,-86
1276,-207,-3
1215,-290,-88
-124,-265,-175
-235,-203,-43
375,-276,28
392,-331,213
171,-204,213
-146,-94,-51
-631,168,-3
-724,260,269
-962,-220,211
3,-320,179
443,-336,139
197,86,783
456,229,790
1093,471,293
1512,672,-444
1717,147,-1413
2237,-587,-2460
2858,-427,-2604
1830,-43,-1740
-752,439,-1319
-2217,839,-1005
-1442,775,-534
1004,253,-470
1427,-219,-179
-183,-203,10
-450,-197,49
785,-362,-22
623,-593,-377
-480,-688,-353
-966,-482,-860
-852,-38,-1190
-659,303,-1133
-389,346,-1079
-39,69,-980
707,-384,-764
1157,-736,-634
694,-1094,-657
164,-1241,-665
4,-1599,-811
39,-1591,-987
-327,-1479,-1072
-782,-1568,-876
-786,-1435,-550
-456,-1229,-505
-372,-1241,-180
-365,-666,483
-1003,-402,429
-961,19,633
-1077,433,959
-1035,540,933
-311,491,1002
-22,341,1183
142,171,1102
160,210,1008
91,178,969
17,92,760
55,-24,608
241,-46,582
174,-177,481
220,-136,366
100,-152,277
252,-305,152
422,-200,149
-50,1,-37
70,232,7
495,397,238
1015,768,210
766,742,63
1199,135,2
2564,-1015,-97
1526,-1675,46
-682,-1529,165
-930,-1396,195
-134,-1199,205
-781,-356,222
-803,93,127
-156,139,29
89,120,204
321,-192,91
213,-319,-115
-576,31,-283
-759,278,-327
-634,448,-537
-1230,475,-812
-804,615,-782
242,405,-366
871,167,-208
580,418,-282
677,94,81
2044,292,303
1144,192,351
1222,123,398
1280,372,520
1053,465,623
947,573,454
812,621,307
986,537,206
660,346,-38
-140,322,-313
-579,338,-409
-379,424,-553
-574,272,-469
-437,158,-359
-327,179,-121
-205,-9,-205
-331,3,-219
-345,126,-218
-584,110,-257
-1084,323,-251
-1051,593,-77
-674,351,-87
-812,63,-130
-1135,57,33
-265,309,80
-472,172,98
-255,48,17
-259,133,-6
20,80,-15
-72,125,-12
-115,198,-36
58,43,30
-91,64,-28
-183,123,4
-278,123,1
-350,141,80
-348,116,73
-419,231,97
-620,474,301
-377,371,209
-464,373,107
-255,337,-66
113,269,-150
155,338,-203
457,311,-137
539,271,-114
438,227,-292
201,207,-328
-68,131,-401
-261,32,-585
-496,119,-638
-749,293,-650
-1014,301,-512
-773,285,-373
-524,322,-213
-478,312,-138
-815,424,-137
-533,299,-151
-292,210,-67
-248,157,-44
-26,31,-93
3,-43,-158
-390,109,-215
-661,225,-191
-297,250,-170
-43,174,-149
-209,125,-221
-304,171,-151
-105,150,-99
-80,119,-2
-214,145,128
103,47,144
64,79,71
118,67,101
218,-79,42
12,-20,-3
-127,85,-144
-126,77,-197
-272,19,-144
-208,-66,-190
-278,-54,-287
-352,-67,-382
-453,61,-86
-183,78,-2
-295,107,3
-447,132,114
18,-30,78
171,-322,231
560,-652,351
825,-713,286
416,-409,295
108,-273,696
-171,-199,1287
-916,-295,1537
-1589,-604,1505
-959,-65,2074
460,-9,2326
1694,-855,2906
2600,-1154,3615
2564,-908,3529
195,160,4202
-2624,-63,3873
-3448,-951,1242
-3467,-343,117
-2727,-444,-552
-2323,139,-386
-1099,487,-245
-440,237,-426
-928,362,-664
-1233,769,-775
-530,831,-947
-412,412,-593
654,-150,-437
590,-567,130
-32,-1049,673
846,-1713,905
1452,-1826,811
1558,-1722,578
1561,-1760,107
1239,-1562,-499
553,-1149,-1311
-72,-797,-1945
-87,-418,-2149
-98,-160,-2061
-275,-43,-1566
-405,-79,-1001
110,-319,-826
719,-142,-564
178,-240,-324
117,-302,-160
792,62,-158
178,299,-151
-51,650,-211
-505,656,221
-1154,574,8
-355,-252,732
425,-363,648
38,6,461
-492,505,366
-192,760,50
196,963,-77
-221,1108,-416
-489,1096,-599
-224,1009,-125
-167,598,-143
2,252,-481
-199,357,-720
398,454,-228
0,360,-165
-626,430,-373
94,981,-523
-1766,1471,-74
-1208,533,-388
961,-579,-284
135,-695,791
-562,-797,518
294,-784,98
-479,37,288
-1075,215,93
-571,-134,-62
190,-584,-401
371,-779,-667
620,-524,-437
415,-433,-161
1112,-492,-165
583,-456,-161
-663,-794,-183
374,-1018,-451
887,-946,-771
608,-814,-975
56,-680,-1056
-88,-602,-1173
77,-405,-1053
115,-122,-947
-151,157,-983
-506,432,-992
-741,342,-1075
-691,166,-1149
-281,-23,-1213
295,-34,-1092
621,-67,-893
529,-113,-716
341,-86,-603
357,-120,-489
510,-252,-421
624,-399,-442
709,-588,-573
792,-755,-677
849,-854,-706
907,-857,-747
952,-855,-760
907,-814,-754
834,-725,-776
614,-609,-837
429,-549,-826
344,-606,-775
333,-662,-685
395,-653,-524
539,-647,-250
542,-672,-23
509,-671,200
448,-769,221
396,-935,233
194,-1070,167
140,-1194,29
146,-1245,-70
154,-1144,-217
80,-879,-511
-160,-570,-597
-447,-269,-554
-483,-26,-401
-304,158,-330
-111,276,-251
-185,288,-243
-313,191,-285
-291,39,-263
60,-82,-265
312,-151,-347
273,-216,-335
202,-263,-427
307,-291,-553
366,-371,-708
336,-460,-686
283,-522,-717
326,-655,-666
459,-648,-732
563,-587,-710
576,-466,-386
396,-253,-170
307,-322,-170
388,-464,-122
684,-571,-151
867,-651,-145
779,-613,-189
753,-662,-289
756,-763,-490
895,-805,-809
1052,-837,-1187
1198,-824,-1584
1381,-771,-2030
1568,-661,-2414
1761,-541,-2785
1917,-489,-3016
2040,-506,-3175
2057,-528,-3238
2015,-512,-3173
1819,-488,-2943
1697,-354,-2627
1666,-219,-2255
1542,-142,-1891
1452,-172,-1406
1545,-273,-990
1616,-240,-622
1487,-168,-285
1319,-191,-74
1229,-217,265
1115,-309,595
913,-281,879
862,-291,976
955,-424,1003
1241,-582,810
1639,-687,453
1862,-693,-106
1628,-581,-490
953,-575,-634
357,-549,-528
430,-746,-539
1068,-920,-610
1711,-944,-798
1937,-968,-682
1697,-962,-427
1336,-766,-194
891,-419,125
376,-47,492
-28,148,794
-88,61,1225
-146,-102,1508
-449,-224,1663
-704,-312,1636
-533,-338,1403
-485,-318,1135
-549,-362,870
-437,-383,521
-173,-287,-136
152,-249,-336
-17,-349,250
-344,-497,782
-196,-759,620
322,-1081,452
764,-1345,256
1039,-1423,99
1160,-1443,-36
868,-1330,-122
493,-1170,-239
458,-956,-403
622,-818,-521
565,-651,-569
494,-446,-480
480,-374,-354
562,-392,-177
733,-343,-276
757,-319,-727
216,-334,-607
12,-191,-43
137,-25,172
-8,-63,150
-496,-137,43
-395,-311,-38
78,-576,-212
302,-789,-414
319,-1042,-627
324,-1240,-779
423,-1376,-1051
522,-1426,-1291
460,-1440,-1552
360,-1332,-1788
290,-1362,-2016
301,-1331,-2065
264,-1251,-1945
182,-1222,-2041
399,-1239,-2041
762,-1182,-1898
834,-975,-1642
615,-734,-1463
238,-522,-1196
121,-276,-862
181,-184,-653
123,-145,-480
100,-111,-259
272,-190,-212
298,-236,-248
237,-251,-323
279,-264,-349
332,-151,-357
237,-89,-285
121,-53,-211
127,-69,-151
217,-141,-125
187,-118,-110
138,-179,-34
142,-204,-2
217,-299,27
303,-317,100
323,-282,148
287,-289,77
303,-279,40
436,-309,-24
592,-262,-10
472,-174,-27
327,-106,46
351,-109,188
367,-198,303
348,-289,457
301,-343,564
248,-384,716
217,-438,849
295,-569,1013
311,-673,1225
359,-721,1416
419,-826,1557
